商品名称,商品分类,商品品牌,cluster_kmeans,cluster_dbscan,cluster_hdbscan,tsne_x,tsne_y
「泡泡鞋」阿迪达斯三叶草 男女经典运动鞋adidas HI-TAIL ID1129,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
「奶包鞋2.0」阿迪达斯三叶草 男女经典运动鞋NITEBALL II JI2558,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
【阿迪达斯专属】「波波鞋」阿迪达斯官方男女款厚底休闲老爹鞋 OZWAVE 2.0 JI1586,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.673836,-11.79163
阿迪达斯三叶草 男款经典运动「奶包鞋2.0」NITEBALL II GZ3628,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-91.04585,-2.1800914
「恐惧鲨鱼」阿迪达斯三叶草 男女款经典老爹鞋 PROPHERE ID0545,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.94417,-11.766899
「奶包鞋2.0」阿迪达斯三叶草 雅丹风男女运动鞋NITEBALL II JI2545,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-65.18059,-18.879118
「恐惧鲨鱼」阿迪达斯三叶草 男女款经典老爹鞋 PROPHERE ID0544,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.673836,-11.79163
「波波鞋」阿迪达斯官方男女厚底休闲老爹鞋adidas OZWAVE IE6059,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.673836,-11.79163
阿迪达斯官方三叶草男女款经典运动鞋adidas EQT BASK ADV JI4274,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
「波波鞋」阿迪达斯官方男女厚底休闲老爹鞋adidas OZWAVE IE6055,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-69.092316,-11.055594
「泡泡鞋阿迪达斯三叶草 男女款经典运动鞋adidas HI-TAIL JH7360,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
阿迪达斯官方三叶草 男女款经典复古老爹鞋 OZWEEGO CELOX IF9365,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-69.092316,-11.055594
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JI4346,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL IE6818,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-69.28942,-11.029983
阿迪达斯官方三叶草 男女经典运动鞋 adidas EQT BASK ADV JI4272,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
阿迪达斯官方三叶草男女经典运动复古老爹鞋OZWEEGO CELOX IF9366,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.970474,-11.034668
「恐惧鲨鱼」阿迪达斯三叶草 男女款经典老爹鞋 PROPHERE IH2212,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.970474,-11.034668
阿迪达斯三叶草 男女款复古风经典中帮运动鞋EQT BASK ADV ID0546,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.97417,-11.035497
「泡泡鞋」阿迪达斯官方三叶草男女经典运动鞋HI-TAIL 2.0 JR2704,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
阿迪达斯三叶草 男女款复古风经典中帮运动鞋EQT BASK ADV ID0548,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.97417,-11.035497
阿迪达斯三叶草 男女经典「街球鞋」adidas STREETBALL II GX0778,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-71.97311,-14.142698
阿迪达斯三叶草 男女款经典运动「奶包鞋2.0」NITEBALL II GX7088,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-91.04585,-2.1800914
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0428,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.70035,-10.991566
阿迪达斯三叶草 男薄款运动复古拼接保暖棉服 BOLD JACKET HE6610,运动户外-运动服/休闲服装-运动棉衣,adidas/阿迪达斯,0,-1,4,31.970999,5.311279
阿迪达斯三叶草 男女款经典运动「奶包鞋2.0」NITEBALL II GX7087,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-91.04585,-2.1800914
阿迪达斯官方 轻运动女款休闲跑步运动鞋 adidas OZELLE GX1727,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.42545,-10.943468
阿迪达斯三叶草男舒适百搭潮运动复古老爹鞋adidas OZELIA GY9977,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.42545,-10.943468
「泡泡鞋」阿迪达斯三叶草 男女经典运动鞋adidas HI-TAIL JH7361,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-68.068634,-44.023003
阿迪达斯三叶草男女经典运动鞋「奶包鞋」adidas NITEBALL FZ5741,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.97417,-11.035497
「增嗨鞋」阿迪达斯三叶草男女款复古老爹鞋adidas HAIWEE ID0551,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.42545,-10.943468
「奶包鞋」阿迪达斯官方三叶草 男女款经典运动鞋NITEBALL ID1119,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.309814,-44.173
阿迪达斯官方三叶草男女复古经典运动老爹鞋adidas OZELIA JI2789,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.42545,-10.943468
阿迪达斯三叶草男款圆领运动短袖T恤adidas LT TEE SS M 2 IK8682,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,0,-1,-1,37.356125,8.249333
阿迪达斯三叶草 男女款复古风经典中帮运动鞋EQT BASK ADV ID0547,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.42545,-10.943468
阿迪达斯三叶草 男款休闲运动连帽夹克外套 adidas TS WB HF5946,运动户外-运动服/休闲服装-运动茄克/外套,adidas/阿迪达斯,2,-1,-1,46.349308,18.931461
阿迪达斯三叶草男款圆领运动短袖T恤adidas LT TEE SS M 2 IK8683,运动户外-运动服/休闲服装-运动T恤,adidas/阿迪达斯,0,-1,-1,37.356125,8.249333
「奶包鞋」阿迪达斯官方三叶草 男女款经典运动鞋NITEBALL ID1121,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.309814,-44.173
阿迪达斯三叶草 男女款经典运动鞋 adidas  DROP STEP XL FW2040,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.309814,-44.173
「泡泡鞋」阿迪达斯三叶草 男女休闲跑步鞋adidas HI-TAIL ID0537,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.49915,-11.533918
「恐惧鲨鱼」阿迪达斯三叶草 男女复古运动老爹鞋PROPHERE JI0426,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-67.62143,-12.440208
「奶包鞋2.0」阿迪达斯三叶草 男女经典运动鞋NITEBALL II FZ5799,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.309814,-44.173
「街球鞋」阿迪达斯三叶草男女款经典运动鞋STREETBALL II JI2544,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,-1,4,-67.309814,-44.173
阿迪达斯三叶草 男女款经典运动鞋「奶包鞋」NITEBALL II FZ5800,运动户外-运动鞋-板鞋/休闲鞋,adidas/阿迪达斯,1,0,4,-68.42545,-10.943468
